Mã KH,Tên KH,Địa chỉ,Địa Bàn,Mã Số Thuế,Mã Nhóm,Đối Tác,Số ĐT
KTCODINH,Quầy thuốc Cô Định,"Làng Vang, xã Tuấn Kiệt, huyện Kim Thành, tỉnh Hải Dương","Kiệt, huyện Kim Thành",,04KV.KIMTHANH,Ngọc Anh,0842423899
KTHUNGTUYEN,Nt pk nha khoa Hùng Tuyền,"Thị tứ Đồng Gia, xã Đồng Cẩm, huyện Kim Thành, tỉnh Hải Dương","Cẩm, huyện Kim Thành",,04KV.KIMTHANH,Đỗ Thị Lệ Tuyên,0974363005
KTQTLEHANG,Quầy thuốc Thu Hằng,"Đội 1, xã Kim Liên, huyện Kim Thành, tỉnh Hải Dương","Liên, huyện Kim Thành",,04KV.KIMTHANH,Lê Thị Hằng,0973410660
KTCUONGSEN,Quầy thuốc Cường Sen,"Km72 QL5, phương Duệ, Kim Xuyên, Kim Thành, Hải Dương","Xuyên, Kim Thành",,04KV.KIMTHANH,Hương Sen,0981979461
KTTAMDUC,Quầy thuốc Tâm Đức,"Ngã tư Cổ Dũng, Cổ Dũng, Kim Thành, Hải Dương","Dũng, Kim Thành",,04KV.KIMTHANH,Nguyễn Thị Thoan,0865303222
KTHANH,Quầy thuốc Haphaco 66,"Tuấn Hưng, Kim Thành, Hải Dương","Hưng, Kim Thành",,04KV.KIMTHANH,Bùi Thị Hạnh,0989631151
KTQT06,Quầy thuốc 06,"Xã Kim Tân, Huyện Kim Thành, Tỉnh Hải Dương",Kim Thành,,04KV.KIMTHANH,Nguyễn Thị Thúy,0776 431 691
KTTUYET,Quầy thuốc Cô Tuyết,"TT Phú Thái, Kim Thành, Hải Dương","Thái, Kim Thành",,04KV.KIMTHANH,Cô Tuyết,0776 431 691
KTLE,Quầy thuốc Phương Lệ,"Cộng Hòa, Kim Thành, HD","Cộng Hòa, Kim Thành",,04KV.KIMTHANH,Phạm Thị Lệ,0347961299
KTKIMDUNG,Quầy thuốc Kim Dung,"115 đường 20 tháng 9 thị trấn Phú Thái, Kim Thành, Hải Dương","Thái, Kim Thành",,04KV.KIMTHANH,Đỗ Thị Kim Dung,01297 656 688
KTHUE,Quầy thuốc Trang Anh,"Ngã 3, Chợ Liên Hòa, Kim Thành, Hải Dương","Hòa, Kim Thành",,04KV.KIMTHANH,Nguyễn Thị Thu Huệ,0357 796 168
KTMANHHUYEN,Nhà thuốc Mạnh Huyền,"Thôn Bắc, xã Cổ Dũng, huyện Kim Thành, tỉnh Hải Dương","Dũng, huyện Kim Thành",,04KV.KIMTHANH,Nguyễn Thị Huyền,0987997357
KTQTTANPHU,Quầy thuốc Tân Phú,"Số 19 đường 20/9 TT Phú Thái, huyện Kim Thành, tỉnh Hải Dương","Thái, huyện Kim Thành",,04KV.KIMTHANH,QT Tân Phú,
KTTRINH,Quầy thuốc số 19 - Chị Trinh,"Cầu Vượt, Kim Xuyên, Kim Thành, Hải Dương","Xuyên, Kim Thành",,04KV.KIMTHANH,Hoàng Thị Trinh,
KTMAITUYEN,Quầy thuốc Mai Tuyên,"Thôn Trung Tuyến, Bình Dân, Kim Thành, HD","Bình Dân, Kim Thành",,04KV.KIMTHANH,Nguyễn Thị Tuyên,034 619 1292
KTBICHPHUONG,Quầy thuốc Bích Phượng,"Ngũ Phúc, Kim thành, HD","Ngũ Phúc, Kim thành",,04KV.KIMTHANH,Phạm Thị Phượng,0384169428
KTPTTHUY,Quầy thuốc tân dược - Chị Thủy,"QL 5 TT Phú Thái, Kim Thành, HD","Phú Thái, Kim Thành",,04KV.KIMTHANH,Đỗ Thị Dương Thủy,0985996629
KTHUONG,Quầy thuốc số 44 - Chị Hường,"Thôn 4 ,Xã Ngũ Phúc, Kim Thành, Hải Dương","Phúc, Kim Thành",,04KV.KIMTHANH,Nguyễn Thị Hường,0383458265
KTTUCHUONG,Quầy thuốc Hải Châu (Túc Hường),"Thôn Kỳ Côi, xã Tam Kỳ, huyện Kim Thành, tỉnh Hải Dương","Kỳ, huyện Kim Thành",,04KV.KIMTHANH,Nguyễn Thị Hường,036 563 9888
KTTUYNHNGUYET,Quầy thuốc Tuynh Nguyệt,"Xóm Mới, Cẩm La, Kim Thành, Hải Dương","La, Kim Thành",,04KV.KIMTHANH,Trần Thị Nguyệt,0974 362 478
KTCHIENHUONG,Quầy thuốc Ngọc Hân (QT Chiến Hương),"Ql 5 Kim Xuyên, Huyện Kim Thành, Tỉnh Hải Dương",Kim Thành,,04KV.KIMTHANH,Trần Thị Hương,0819298486
KTQT368,Quầy thuốc 368,"Nại Đông, Tam Kì, KIm Thành, Hải Dương","Kì, KIm Thành",,04KV.KIMTHANH,Nguyễn Thị Quỳnh,0326621970
KTTHãNHUYEN,Quầy thuốc Thanh Xuyến,"Đội 14 Kim Tân, Kim Thành, Hải Dương","Tân, Kim Thành",,04KV.KIMTHANH,Phạm Thị Xuyến,0968544974
KTPKDUCPHUC,Phòng khám Đức Phúc - Bs Nguyễn Thị Quy,"Khu Tân Phú, TT Phú Thái, Kim Thành, Hải Dương","Thái, Kim Thành",,04KV.KIMTHANH,Nguyễn Thị Quy,0971063188
KTHOANGANH,Quầy thuốc Hoàng Anh,"QL 17B, xã Tam Kỳ, huyện Kim Thành, tỉnh Hải Dương","Kỳ, huyện Kim Thành",,04KV.KIMTHANH,Tuệ Anh,0982419688
KTBUIBAN,Quầy thuốc Tâm Phúc,"Đội 3, Hợp Nhất, xã lai Khê, huyện Kim Thành, tỉnh Hải Dương","Khê, huyện Kim Thành",,04KV.KIMTHANH,Bùi Ngọc Bản,0585858115
KTDUNGHUYEN,Quầy thuốc Dũng Huyền,"Thôn Phỉ Tải 1, xã Kim Đính, huyện Kim Thành, tỉnh Hải Dương","Đính, huyện Kim Thành",,04KV.KIMTHANH,Ds Huyền,0353136908
KTPKKIMDINH,Phòng khám đa khoa Kim Đính,"Thị tứ Kim Đính, Kim Thành, Hải Dương","Đính, Kim Thành",,04KV.KIMTHANH,Bs Bằng,02203721111
KTNGOCBICH,Quầy thuốc Ngọc Bích,"Xóm 2, Quỳnh Khê, Kim Xuyên, Kim Thành, Hải Dương","Xuyên, Kim Thành",,04KV.KIMTHANH,Vũ Thị Bích,0965517221
KTNGUYENTOANH,Quầy thuốc Bảo An,"Thôn Đại Tiến, xã Đại Đức, huyện Kim Thành, tỉnh Hải Dương","Đức, huyện Kim Thành",,04KV.KIMTHANH,Nguyễn Thị Oanh,0964199177
KTQTCUONGTHU,Quầy thuốc Cường Thu,"Tân Hưng, Tuấn Hưng, Kim Thành, Hải Dương","Hưng, Kim Thành",,04KV.KIMTHANH,Bùi Thị Thu,0979688058
KTQT60,Quầy thuốc số 60,"Thôn Phù Tải 1, xã Kim Đính, huyện Kim Thành, tỉnh Hải Dương","Đính, huyện Kim Thành",,04KV.KIMTHANH,Lê Thị Kiều Hạnh,0945068226
KTGIAHAN,NT Pk răng Gia Hân,"Xã Kim Lương, Huyện Kim Thành, Tỉnh Hải Dương",Kim Thành,,04KV.KIMTHANH,,0974766102
KTQT16,Quầy thuốc số 16,"xã Kim Khê, huyện Kim Thành, tỉnh Hải Dương","Khê, huyện Kim Thành",,04KV.KIMTHANH,DS Kim Anh,0819298486
KTHOAVINH,Quầy thuốc Hoa Vinh,"Phạm Xá, Tuấn Hưng, Kim Thành, Hải Dương","Hưng, Kim Thành",,04KV.KIMTHANH,Nguyễn Thị Hoa,0967669388
KTDUNGHA,Quầy thuốc Dũng Hà,"thôn Tân Hưng, xã Tuấn Hưng, huyện Kim Thành, tỉnh Hải Dương","Hưng, huyện Kim Thành",,04KV.KIMTHANH,Nguyễn Thị Hà,
KTQTTANDUOC,Nhà thuốc Kim Thành (Qt Tiệp Lan),"thôn Phạm Xá, xã Tuấn Hưng, huyện Kim Thành, tỉnh Hải Dương","Hưng, huyện Kim Thành",,04KV.KIMTHANH,Phạm Thị Lan,0382165835
KTTHANHHIEN,Quầy thuốc Thanh Hiền,"Ngã giữa thôn Xã Sơn, xã Quang Thành, huyện Kim Thành, tỉnh Hải Dương","Thành, huyện Kim Thành",,04KV.KIMTHANH,Vũ Thị Thanh Hiền,0358406809
KTDUNGTHAI,Quầy thuốc Dũng Thái,"Số 1 Lai Khê, xã Cộng Hòa, huyện Kim Thành, tỉnh Hải Dương","Hòa, huyện Kim Thành",,04KV.KIMTHANH,Nguyễn Thị Thái,0983364383
KTQTSO2,Quầy thuốc số 2,"thôn Cam Đông, xã Tuấn Việt, huyện Kim Thành, tỉnh Hải Dương","Việt, huyện Kim Thành",,04KV.KIMTHANH,Phạm Thu Hường,0918568695
KTTHUHUYEN,Quầy thuốc Thu Huyền,"Văn Vít, Đồng Cẩm, Kim Thành, Hải Dương","Cẩm, Kim Thành",,04KV.KIMTHANH,Thu HUyền,0962754786
KTVUANH,Quầy thuốc Vũ Thị ánh,"Nguyễn Bạo, Đại Đức, Kim Thành, Hải Dương","Đức, Kim Thành",,04KV.KIMTHANH,Vũ Thị ánh,0362523113
KTQTTUYETTUAN,Quầy thuốc Tuấn Tuyết,"Cam Đông, Tuấn Hưng, Kim Thành, Hải Dương","Hưng, Kim Thành",,04KV.KIMTHANH,DS Tuyết,0977639266
KTNGUYENTUYEN,Quầy thuốc Nguyễn Tuyền,"Chợ Giải, xã Kim Đính, huyện Kim Thành, tỉnh Hải Dương","Đính, huyện Kim Thành",,04KV.KIMTHANH,Nguyễn Thị Tuyền,0961470694
KTKIMOANH,Quầy thuốc Kim Oanh,"Thôn Quảng Bình, xã Đồng Cẩm, huyện Kim Thành, tỉnh Hải Dương","Cẩm, huyện Kim Thành",0865714404,04KV.KIMTHANH,Nguyễn Thị Tư,0988655923
KTHOANGMIEN,Quầy thuốc Hoàng Thị Miền,"Tân Hưng, Tuấn Việt, Kim Thành, Hải Dương","Việt, Kim Thành",,04KV.KIMTHANH,Hoàng Thị Miền,0367194327
KTCUONGHONG,Quầy thuốc Cường Hồng,"Hợp Nhất, Lai Vu, Kim Thành, Hải Dương","Vu, Kim Thành",,04KV.KIMTHANH,DS Hồng,0387142382
KTNAMTUYEN,Quầy thuốc tân dược Nam Tuyền,"Phương Duệ, Kim Xuyên, Kim Thành, Hải Dương","Xuyên, Kim Thành",,04KV.KIMTHANH,Hoàng Thị Thanh Tuyền,0386573362
KTHONGDUYEN,Quầy thuốc Hồng Chuyên,"Chợ Giải, xã Kim Đính, huyện Kim Thành, tỉnh Hải Dương","Đính, huyện Kim Thành",,04KV.KIMTHANH,Nguyễn Thị Chuyên,0772240905
KTQUYNHCHI,Quầy thuốc Quỳnh Chi,"Thôn Lai Khê, xã Cộng Hòa, huyện Kim Thành, tỉnh Hải Dương","Hòa, huyện Kim Thành",0945586188,04KV.KIMTHANH,Bùi Khắc Kiên,0969331656
KMTHANHTRUC,Quầy thuốc Thanh Trúc,"Làng Bãi Mạc, xã Thượng Quận, huyện Kinh Môn, tỉnh Hải Dương","Quận, huyện Kinh Môn",,04KV.KIMTHANH,Bùi Thị Oanh,0974105099
KTQT20,Quầy thuốc số 20,"Thôn Trung Tuyến, xã Bình Dân, huyện Kim Thành, tỉnh Hải Dương","Dân, huyện Kim Thành",,04KV.KIMTHANH,Nguyễn Văn Đặng,0989323503
KTHUNGANH,Quầy thuốc Hùng Anh,"Thôn Phú Tải 1, xã Kim Đính, huyện Kinh Thành, tỉnh Hải Dương","Đính, huyện Kinh Thành",,04KV.KIMTHANH,DS Nguyễn Thị Thu Huyền,0984 713 139
KTQUAY58,Quầy thuốc số 58,"thôn Dưỡng Mông, xã Ngũ Phúc, huyện Kim Thành, tỉnh Hải Dương","Phúc, huyện Kim Thành",,04KV.KIMTHANH,Lê Hà Phương,0975 147 382
KTNGOCTHUAN,Quầy thuốc Ngọc Thuần (16),"Số 133 đường 20/9 khu Tân Phú, TT Phú Thái, huyện Kim Thành, tỉnh Hải Dương","Thái, huyện Kim Thành",,04KV.KIMTHANH,Nguyễn Thị Ngọc,037 99 68 555
KTTRUONGCHINH,Quầy thuốc Trường Chinh,"xã Kim Anh, huyện Kim Thành, tỉnh Hải Dương","Anh, huyện Kim Thành",,04KV.KIMTHANH,Trương Thị Kiều Chinh,091 182 8355
KTHAVY,Quầy thuốc Hà Vy,"Thôm Kim Định, xã Đại Đức, huyện Kim Thành, tỉnh Hải Dương","Đức, huyện Kim Thành",,04KV.KIMTHANH,Đỗ Thị Quyên,0977 670 881
KTTUANHUNG,Quầy thuốc Tuấn Hưng,"QL17B Xã Tam Kỳ, huyện Kim Thành, tỉnh Hải Dương","Kỳ, huyện Kim Thành",,04KV.KIMTHANH,Hoàng Thị Nụ,0363 285 855
KTKIMANH,Quầy thuốc Kim Anh,"thôn Văn Minh, xã Kim Anh, huyện Kim Thành, tỉnh Hải Dương","Anh, huyện Kim Thành",,04KV.KIMTHANH,Nguyễn Thị Huyền,0384 163 788
KTLINHANH,Quầy thuốc Linh Anh,"xã Tam Kỳ, huyện Kim Thành, tỉnh Hải Dương","Kỳ, huyện Kim Thành",,04KV.KIMTHANH,Nguyễn Văn Huân,081 321 3755
KTTHANHNGOAN,Quầy thuốc Thanh Ngoan,"Thôn Nghĩa Xuyên, xã Tam Kỳ, Huyện Kim Thành, Tỉnh Hải Dương",Kim Thành,,04KV.KIMTHANH,Nguyễn Thị Ngoan,0983054322
KT09,Quầy thuốc 09,"Ngũ Phúc, Kim Đính, Kim Thành, Hải Dương","Đính, Kim Thành",,04KV.KIMTHANH,Lưu  Thị Nguyên,0977635631
KTBINHPHUONG,Quầy thuốc Bình Phương,"Xã Cổ Dũng, huyện Kim Thành, tỉnh Hải Dương","Dũng, huyện Kim Thành",,04KV.KIMTHANH,Nguyễn Quý Khoản,0982848787
KTSONDINH,Nt pk nha khoa Sơn Dinh,"Cổ Phục Nam, xã Kim Liên, huyện Kim Thành, tỉnh Hải Dương","Liên, huyện Kim Thành",,04KV.KIMTHANH,Nguyễn Thị Dinh,0326595256
KTNAMHONG,Quầy thuốc Nam Hồng,"Đội 6 Hưng Hòa, xã Liên Hòa, huyện Kim Thành, tỉnh Hải Dương","Hòa, huyện Kim Thành",,04KV.KIMTHANH,Phạm Thị Hồng,0384168848
KTMAIHUONG,Quầy thuốc Mai Hương,"111 đường 20/09 TT Phú Thái, huyện Kim Thành, tỉnh Hải Dương","Thái, huyện Kim Thành",,04KV.KIMTHANH,Nguyễn Thị Hương,0386 113 066
KTCHILUYEN,Quầy thuốc tân dược C Luyến,"Ngã tư Phương Duệ, xã Kim Xuyến, Huyện Kim Thành, Tỉnh Hải Dương",Kim Thành,,04KV.KIMTHANH,DS Luyến,0967241922
KTCHINGA,Quầy thuốc Hứa Nga,"Xã Kim Lương, Huyện Kim Thành, Tỉnh Hải Dương",Kim Thành,,04KV.KIMTHANH,Hứa Thị Thúy Nga,0969734812
KTDSVANBACHMAI,Quầy thuốc Bạch Mai,"Tảm Thượng, Tuấn Việt, Kim Thành, Hải Dương","Việt, Kim Thành",,04KV.KIMTHANH,DS Vân,0969556916
KTTHUYNGA,PK nha khoa Thúy Nga,"Ga Phạm Xá, Tuấn Việt, Kim Thành, Hải Dương","Việt, Kim Thành",,04KV.KIMTHANH,Nguyễn Thúy Nga,0973769262
KTDSXUAN,Quầy thuốc tân dược Ds Xuân,"Thiện Đáp, Kim Xuyên, Kim Thành, Hải Dương","Xuyên, Kim Thành",,04KV.KIMTHANH,Ds Xuân,0963035268
KTPKBSMUNG,Phòng khám Bs Mừng,"Cổ Dũng, Kim Thành, Hải Dương","Dũng, Kim Thành",,04KV.KIMTHANH,Bs Mừng,0936001087
KTTHAOVY,Quầy thuốc Thảo Vy,"Thôn Tân Tiến, xã Đại Đức, huyện Kim Thành, tỉnh Hải Dương","Đức, huyện Kim Thành",,04KV.KIMTHANH,Phạm Thị Vân,0334 700 121
KTTSO5,Quầy thuốc số 5,"Kim Tân, Kim Thành, Hải Dương","Tân, Kim Thành",,04KV.KIMTHANH,DS Nguyễn Ngọc Bắc,0904 945 645
KTNGUYENOANH,Quầy thuốc Thanh Loan,"Thôn Lương Xá, xã Kim Lương, huyện Kim Thành, tỉnh Hải Dương","Lương, huyện Kim Thành",,04KV.KIMTHANH,Nguyễn Thị Oanh,0799 238 138
KTTYTKIMANH,Quầy thuốc TYT Kim Anh,"xã Kim Anh, huyện Kim Thành, tỉnh Hải Dương","Anh, huyện Kim Thành",,04KV.KIMTHANH,Chị Huyền,0983859766
KTHOANGTRUNG,Quầy thuốc Hoàng Trung,"Ngã tư Chợ Giải, Kim Đính, Kim Thành, Hải Dương","Đính, Kim Thành",,04KV.KIMTHANH,Hoàng Văn Trung,0983721841
KTDUCCONG,Quầy thuốc Đức Công,"Xóm 4, Thành Vinh, Dưỡng Thái, Phúc Thành, Kim Thành, Hải Dương","Thành, Kim Thành",,04KV.KIMTHANH,Phạm Văn Công,0976565132
KTTHUHA,Quầy thuốc Thu Hà,"đường 17B xã Tam Kỳ, huyện Kim Thành, tỉnh Hải Dương","Kỳ, huyện Kim Thành",,04KV.KIMTHANH,Lưu Thị Hà,03523 894 88
KTQT43,Quầy thuốc số 43,"Số 8 đường 20-9, TT Phú Thái, huyện Kim Thành, tỉnh Hải Dương","Thái, huyện Kim Thành",,04KV.KIMTHANH,Phạm Thị Thuận,0904 482 288
KTHAIYEN,Quầy thuốc Hải Yến,"69 Trần Hưng Đạo, TT Phú Thái, huyện Kim Thành, tỉnh Hải Dương","Thái, huyện Kim Thành",,04KV.KIMTHANH,Nguyễn Hải Yến,0962 989 692
KTQUANGNGAN,Quầy thuốc Quang Ngân,"Xóm 1,Thôn Quỳnh Khê, Xã Kim  Xuyên,huyện Kim Thành, tỉnh Hải Dương","Xuyên,huyện Kim Thành",,04KV.KIMTHANH,Vũ Thị Ngân,0796311833
KTHAMY,Quầy thuốc Hà My,"Cẩm La, Kim Thành, Hải Dương","La, Kim Thành",,04KV.KIMTHANH,Bùi Thị Hà My,0375405896
KTTUANLINH,Quầy thuốc Tuấn Linh,"Thiên Đông, Kim Tân, Kim Thành, Hải Dương","Tân, Kim Thành",,04KV.KIMTHANH,Nguyễn Thị Hiền,0961652868
KTDUCHUNG,Quầy thuốc Đức Hùng,"Ngã 3 Cầu Thái, Kim Thành, Hải Dương","Thái, Kim Thành",,04KV.KIMTHANH,Đỗ Thị Dương Thủy,0352 761 989
KTANTHAI,Quầy thuốc An Thái,"Xã An Thái, huyện Kim Thành, tỉnh Hải Dương","Thái, huyện Kim Thành",,04KV.KIMTHANH,Trần Thị Yến,0977 555 048
KTTRUONGTHINH,Quầy thuốc Trường Thái,"Phúc Thành, Kim Thành, Hải Dương","Thành, Kim Thành",,04KV.KIMTHANH,Đỗ Thị Hương Giang,0386292543
KTPHANHANG,Quầy thuốc Thu Hằng,"Đội 12 xã Kim Tân, huyện Kim Thành, tỉnh Hải Dương","Tân, huyện Kim Thành",,04KV.KIMTHANH,Phan Thị Hằng,0978416076
KTDOANNGAN,Quầy thuốc Kim Ngân,"Đội 13, thôn Thiên Đông, xã Kim Tân, huyện Kim Thành, tỉnh Hải Dương","Tân, huyện Kim Thành",,04KV.KIMTHANH,DS Đoàn Thị Ngân,0966 97 6663
KTHAIHUY,Quầy thuốc Hải Huy,"xã Liên Hòa, huyện Kim Thành, Hải Dương","Hòa, huyện Kim Thành",,04KV.KIMTHANH,Dương Thị Hường,0356 309 135
KTBACHJMAI,Quầy thuốc Bạch Mai,"thôn Quyết Thắng, xã Kim Anh, huyện Kim Thành, tỉnh Hải Dương","Anh, huyện Kim Thành",,04KV.KIMTHANH,Trần Thị Du,0374 242 218
KTNHIDUC,Quầy thuốc Nhi Đức,"Kiến Lễ, xã Đại Đức, huyện Kim Thành, tp Hải Phòng","Đức, huyện Kim Thành",,04KV.KIMTHANH,Đinh Văn Hưng,0988 970 926
KTDONGLUAN,Quầy thuốc Đồng Văn Luân,"Đội 3, thôn Hải Ninh, xã Kim Tân, huyện Kim Thành, tỉnh Hải Dương","Tân, huyện Kim Thành",,04KV.KIMTHANH,Đồng Văn Luân,0989 331 084
KTTSO1,Quầy thuốc 01,"TT Phú Thái, Kim Thành, Hải Dương","Thái, Kim Thành",,04KV.KIMTHANH,DS Nhung,0989339938
KTDUONGNHUNG,Quầy thuốc Dương Nhung,"Quỳnh Khê, Kim Xuyên, Kim Thành, Hải Dương","Xuyên, Kim Thành",,04KV.KIMTHANH,Nguyễn Thị Nhung,0985430525
KTMINHDUC,Quầy thuốc Minh Đức,"Xóm 5 Thiện Đáp, Kim Xuyên, Kim Thành, Hải Dương","Xuyên, Kim Thành",,04KV.KIMTHANH,Bùi Thị Nhung,0968290188
KTTRUONGGIANG,Quầy thuốc Trường Giang,"Đội 2 xã Thượng Vũ, Kim Thành, Hải Dương","Vũ, Kim Thành",0934352204,04KV.KIMTHANH,DS Giang,0386114228
KTNHAKHOATHUC,NT PK nha khoa A Thức,"Thôn Lễ Độ, xã Kim Anh, huyện Kim Thành, tỉnh Hải Dương","Anh, huyện Kim Thành",,04KV.KIMTHANH,Tô Văn Thức,0705825678
KTQT54,Quầy thuốc Haphaco 54,"Thôn Hợp Nhất, xã Lai Vu, huyện Kim Thành, tỉnh Hải Dương","Vu, huyện Kim Thành",,04KV.KIMTHANH,Bùi Thị Hồng,0387142328
KTCHIMI,Quầy thuốc Tâm Dược,"Ngã tư chợ Lai Vu, Lai Vu, Kim Thành, Hải Dương","Vu, Kim Thành",,04KV.KIMTHANH,Bùi Thị Mị,0962238926
KTTHAOVAN,Quầy thuốc Thảo Vân,"Chợ Giải, thị tứ Kim Đính, Kim Thành, Hải Dương","Đính, Kim Thành",,04KV.KIMTHANH,Đàm Thị Vân,0339858686
KTKHANGHANH,Quầy thuốc Khanh Hạnh,"Chợ Lai Khê, huyện Kim Thành, tỉnh Hải Dương","Khê, huyện Kim Thành",,04KV.KIMTHANH,Nguyễn Thị Hạnh,0967938561
KTTHANGTUOI,Quầy thuốc Thắng Tươi,"Thôn Thanh Liên, Cộng Hòa, Kim Thành, Hải Dương","Hòa, Kim Thành",,04KV.KIMTHANH,Nguyễn Thị Tươi,0367478555
KTQT19,CTDHD - Quầy thuốc 19,"Cầu Vượt Kim Xuyên, Kim Thành, Hải Dương","Xuyên, Kim Thành",,04KV.KIMTHANH,Hoàng Thị Trinh,0961908682
KTHAKHANH,Quầy thuốc Hà Khánh,"Thôn Phạm Xá,Tuấn Hưng, Kim Thành, Hải Dương","Hưng, Kim Thành",,04KV.KIMTHANH,Hà Khánh,0868310286
KTVINHHOA,Quầy thuốc trung tâm Vinh Hoa,"thôn Tân Hưng, xã Tuấn Hưng, huyện Kim Thành, tỉnh Hải Dương","Hưng, huyện Kim Thành",,04KV.KIMTHANH,Nguyễn Thị Hoa,0949423256
KTTHANHTIN,Quầy thuốc Thành Tín,"Thôn Phạm Xá 2, xã Tuấn Việt, huyện Kim Thành, tỉnh Hải Dương","Việt, huyện Kim Thành",,04KV.KIMTHANH,Đặng Thị Châm,0962280058
KTPHAMHUONG,Nt pk Nhi Khoa,"124 đường Thanh Niên, Tt Phú Thái, huyện Kim Thành, tỉnh Hải Dương","Thái, huyện Kim Thành",,04KV.KIMTHANH,Phạm Thị Hường,0988596921
KTQUYTHUONG,Quầy thuốc Quý Thương,"Bình Dân, Kim Thành, Hải Dương","Dân, Kim Thành",,04KV.KIMTHANH,Nguyễn Văn Quý,0985364788
KTHUNGTRANG,Quầy thuốc Hùng Trang,"Lai Khê, Cộng Hòa, Kim Thành, Hải Dương","Hòa, Kim Thành",,04KV.KIMTHANH,Vũ Thị Trang,0982822930
KTLUANLE,Quầy thuốc Luận Lệ,"Lai Vu, Kim Thành, Hải Dương","Vu, Kim Thành",,04KV.KIMTHANH,Bùi Thị Lệ,097 6083415
KTCOXOAN,Quầy thuốc DS Xoan,"xã Lại Đông, huyện Kim Thành, tỉnh Hải Dương","Đông, huyện Kim Thành",,04KV.KIMTHANH,DS Xoan,0389484371
TDVQUOCANH,TDV Hoàng Quốc Anh,Hải Dương,,,04KV.KIMTHANH,,
KTQTTRINHTHUY,Quầy thuốc Trịnh Thủy,"Tuấn Việt, Kim Thành, Hải Dương","Việt, Kim Thành",,04KV.KIMTHANH,Trịnh Thị Thu Thủy,0965230626
KTPKBSDUY,Nt phòng khám Bs Duy,"56 Trần Hưng Đạo, TT Phú Thái, Kim Thành, Hải Dương","Thái, Kim Thành",,04KV.KIMTHANH,Nguyễn Thị Thu Thủy,0377192892
KTANHTHU,Quầy thuốc Anh Thư - Ds Phạm Thị Luyến,"QL 5 Phương Duệ, Kim Xuyên, Kim Thành, Hải Dương","Xuyên, Kim Thành",,04KV.KIMTHANH,Phạm Thị Luyến,0967241922
KTPKBSTHUAN,Phòng khám bác sĩ Ninh Văn Thuận,"Gần nhà văn hóa thôn Thiện Đáp, Kim Xuyên, Kim Thành, Hải Dương","Xuyên, Kim Thành",,04KV.KIMTHANH,Ninh Văn Thuận,0974721393
KTQTHIEN,Quầy thuốc Thu Hiền,"Thôn 3 Tú Sơn, Nãi Sơn, Kiến Thụy, Hải Phòng","Sơn, Kiến Thụy",,04KV3KIENTHUY,Nguyễn Thị Thủy,0934240586
KTPKPHUONGVY,Phòng khám răng Huế,"Ngã tư Tam Kiệt, xã Hữu Bằng, huyện Kiến Thụy, tp Hải Phòng","Bằng, huyện Kiến Thụy",,04KV3KIENTHUY,Vũ Thị Huế,0378863886
KTPKDAOTHIENG,Phòng khám răng hàm mặt Bs Đào Xuân Thiềng,"Quán Bơ, xã Du Lễ, huyện Kiến Thụy, tp Hải Phòng","Lễ, huyện Kiến Thụy",,04KV3KIENTHUY,Đào Xuân Thiềng,0378793305
KTHUYENTRANG,Quầy thuốc Huyền Trang,"Thôn Ngọc Liễn, xã Đại Hà, huyện Kiến Thuỵ, tp Hải Phòng","Hà, huyện Kiến Thuỵ",,04KV3KIENTHUY,Phạm Thị Huyền,0973 828 529
KTQUANGHUY,Quầy thuốc Quang Huy,"Cẩm La, xã Thanh Sơn, huyện Kiến Thụy, tp Hải Phòng","Sơn, huyện Kiến Thụy",,04KV3KIENTHUY,Ds Trang,0965144506
KTQUYNHUONG,Quầy thuốc Quỳnh Dương,"Thống Nhất, xã Minh Tân, huyện Kiến Thụy, tp Hải Phòng","Tân, huyện Kiến Thụy",,04KV3KIENTHUY,Nguyễn Thị Oanh,0799234222
KTHAANH,Quầy thuốc Hà Anh (Qt 399),"Đại Lộc, Đại Hợp, Kiến Thụy, Hải Phòng","Hợp, Kiến Thụy",,04KV3KIENTHUY,Nguyễn Thị Ngân,0387029295
KTNGUYENNGOC,Quầy thuốc Xanh,"Phong Cầu 1, xã Đại Đồng, huyện Kiến Thụy, tp Hải Phòng","Đồng, huyện Kiến Thụy",,04KV3KIENTHUY,Nguyễn Thị Ngọc,0971462291
KTTHAOUYEN,Quầy thuốc Thảo Uyên,"Thôn Hòa Nhất, xã Ngũ Đoan, huyện Kiến Thụy, tp Hải Phòng","Đoan, huyện Kiến Thụy",,04KV3KIENTHUY,Nguyễn Thị Anh,0972330359
KTTHAONHI,Quầy thuốc Thảo Nhi,"Thôn Nãi Sơn, xã Tú Sơn, huyện Kiến Thụy, tp Hải Phòng","Sơn, huyện Kiến Thụy",,04KV3KIENTHUY,Nguyễn Thị Thoan,0336278880
KTTHAONGUYEN,Quầy thuốc Thảo Nguyên,"Thôn Hoa Liễu, xã Thuận Thiên, huyện Kiến Thụy, tp Hải Phòng","Thiên, huyện Kiến Thụy",,04KV3KIENTHUY,Nguyễn Văn Nguyên,0796309676
KTPKPHAMPHONG,Phòng khám nha khoa Phạm Phong,"Chợ Chiều, xã Đông Phương, huyện Kiến Thụy, tp Hải Phòng","Phương, huyện Kiến Thụy",,04KV3KIENTHUY,Phạm Tuyến Phong,0392891624
